id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,thumbnail_url,zipcode,bedrooms,beds
4734170,4.653960350157523,,,,3,1.0,,,True,,,,True,False,,,False,,40.75035450501796,-73.98082764267082,,,40,88,,,1.0,2.0
421056,4.31748811353631,,,,2,1.0,,,True,,,,True,True,,,False,,40.66122088824417,-73.94866662985584,,,1,100,,,1.0,1.0
5520582,3.828641396489095,,,,2,1.0,,,True,,,,True,False,,,False,,34.064076563038896,-118.34591018983603,,,0,-9223372036854775808,,,1.0,1.0
8908966,5.220355825078324,,,,4,1.0,,,True,,,,True,True,,,False,,33.99750601746201,-118.47203289563706,,,248,96,,,2.0,3.0
10994968,4.48863636973214,,,,1,,,,True,,,,True,True,,,False,,34.086337778005465,-118.364778260127,,,46,99,,,1.0,1.0
5559765,4.356708826689592,,,,4,1.0,,,True,,,,True,False,,,True,,34.086308571477765,-118.27122668161104,,,1,-9223372036854775808,,,1.0,2.0
15705862,4.382026634673881,,,,2,1.0,,,True,,,,True,True,,,True,,40.65921860626234,-73.9135134806542,,,17,96,,,1.0,1.0
16904896,4.8283137373023015,,,,2,1.0,,,True,,,,True,True,,,True,,37.773727768421885,-122.4631287944048,,,138,96,,,1.0,1.0
4209927,3.912023005428147,,,,1,1.0,,,True,,,,True,False,,,False,,40.71518313379048,-73.94520044109917,,,11,84,,,1.0,1.0
12232154,4.74493212836325,,,,2,,,,True,,,,True,True,,,False,,40.73131103475344,-73.98609196718057,,,2,100,,,1.0,1.0
4680055,4.68213122712422,,,,2,1.0,,,True,,,,True,True,,,True,,42.330628327436926,-71.05314779730331,,,40,96,,,1.0,1.0
19813606,5.521460917862246,,,,5,2.0,,,True,,,,True,False,,,True,,41.861056990251015,-87.61930317226145,,,0,-9223372036854775808,,,2.0,2.0
18191678,4.787491742782046,,,,4,1.0,,,True,,,,True,False,,,False,,34.107802780014374,-118.32006752783188,,,0,-9223372036854775808,,,1.0,1.0
12428036,4.31748811353631,,,,8,1.0,,,True,,,,True,True,,,True,,34.05542344272837,-118.27520440447366,,,44,92,,,1.0,7.0
4014942,4.997212273764115,,,,4,1.5,,,True,,,,True,True,,,False,,34.10259785533896,-118.35677570403048,,,29,95,,,2.0,2.0
11376382,5.783825182329737,,,,2,1.0,,,False,,,,True,True,,,True,,33.97570796819605,-118.44959622477272,,,1,80,,,1.0,1.0
15238989,5.521460917862246,,,,2,1.0,,,False,,,,True,False,,,False,,40.76893346318096,-73.95377172706938,,,0,-9223372036854775808,,,1.0,1.0
18004987,5.010635294096256,,,,2,1.0,,,True,,,,True,True,,,False,,38.90193567089118,-77.05230862110695,,,1,-9223372036854775808,,,1.0,1.0
5117069,4.007333185232471,,,,1,1.0,,,False,,,,True,False,,,False,,40.72716681351783,-73.99099986603763,,,0,-9223372036854775808,,,1.0,1.0
16246049,3.555348061489413,,,,2,1.0,,,False,,,,True,False,,,False,,40.706312451628015,-73.9192193951951,,,1,-9223372036854775808,,,1.0,1.0
17708004,4.007333185232471,,,,2,1.0,,,True,,,,True,True,,,True,,40.679889519431406,-73.90856544748928,,,34,88,,,1.0,1.0
13435559,4.158883083359672,,,,2,1.0,,,False,,,,True,True,,,False,,41.851047488672826,-87.67941890653034,,,85,96,,,1.0,1.0
17621139,4.7535901911063645,,,,2,1.0,,,True,,,,True,False,,,False,,40.75215018060608,-74.00425525994093,,,0,-9223372036854775808,,,1.0,1.0
3530517,6.620073206530356,,,,6,2.0,,,True,,,,True,True,,,True,,37.73079826781153,-122.4486086808822,,,18,97,,,3.0,3.0
13412641,4.8283137373023015,,,,2,1.0,,,True,,,,True,True,,,False,,34.156490921446604,-118.45651757124588,,,0,-9223372036854775808,,,1.0,1.0
17078757,4.7791234931115305,,,,2,1.0,,,True,,,,True,True,,,False,,40.71729548051368,-73.96072627800018,,,3,100,,,1.0,1.0
6443678,4.74493212836325,,,,5,1.0,,,True,,,,True,False,,,False,,40.8128620128336,-73.9412041664812,,,1,100,,,0.0,2.0
8926164,4.68213122712422,,,,2,1.0,,,True,,,,True,True,,,False,,40.734114958136,-73.99787332138376,,,31,94,,,1.0,1.0
17556957,4.948759890378168,,,,2,1.0,,,True,,,,True,True,,,False,,40.73961191130998,-73.99976209757943,,,2,80,,,1.0,1.0
2503128,3.688879454113936,,,,2,1.0,,,True,,,,True,False,,,False,,40.835353888216574,-73.94333890275281,,,9,100,,,3.0,1.0
9471893,5.857933154483459,,,,4,1.0,,,True,,,,True,False,,,False,,34.00181462821806,-118.4519074165356,,,3,93,,,2.0,2.0
4274462,4.8283137373023015,,,,6,1.0,,,True,,,,True,True,,,False,,42.336007264672034,-71.05291817119243,,,5,100,,,2.0,4.0
1948096,4.382026634673881,,,,2,1.0,,,False,,,,True,True,,,False,,34.12973622678146,-118.1458610253142,,,0,-9223372036854775808,,,1.0,1.0
11712092,6.907755278982138,,,,9,2.5,,,False,,,,True,True,,,False,,37.75052787732777,-122.40297280559892,,,0,-9223372036854775808,,,4.0,4.0
20918988,6.214608098422191,,,,2,1.5,,,False,,,,True,False,,,False,,38.933761691122754,-76.97799438735225,,,0,-9223372036854775808,,,1.0,1.0
5806687,4.700480365792417,,,,1,1.0,,,False,,,,True,True,,,False,,40.7394219185388,-73.99628925063296,,,0,-9223372036854775808,,,0.0,1.0
16474211,4.4998096703302615,,,,3,1.0,,,True,,,,True,True,,,False,,34.113148331638634,-118.28364439769476,,,1,100,,,1.0,1.0
15187281,5.5174528964647065,,,,5,1.0,,,True,,,,True,False,,,True,,40.74942940883362,-73.99834522564481,,,0,-9223372036854775808,,,2.0,3.0
20269518,4.691347882229144,,,,3,1.0,,,True,,,,True,True,,,False,,34.16380400191921,-118.37602933967572,,,1,100,,,1.0,1.0
19247305,4.7791234931115305,,,,6,2.0,,,True,,,,True,True,,,True,,34.100843664981724,-118.31331463281752,,,30,89,,,2.0,2.0
11095719,4.4998096703302615,,,,2,1.0,,,True,,,,True,True,,,False,,34.10478507170547,-118.30418876781198,,,4,100,,,0.0,1.0
4285537,4.7791234931115305,,,,2,1.0,,,True,,,,True,True,,,False,,38.914204383557646,-77.02530768869373,,,6,100,,,1.0,1.0
14668858,5.010635294096256,,,,2,1.0,,,False,,,,True,False,,,False,,40.7599007550218,-73.96262541270806,,,0,-9223372036854775808,,,1.0,1.0
7822736,4.605170185988092,,,,2,1.0,,,True,,,,True,False,,,False,,34.16778108631532,-118.28212118707825,,,0,-9223372036854775808,,,1.0,1.0
15990686,3.80666248977032,,,,2,1.0,,,True,,,,True,True,,,False,,40.65262787749936,-73.95560803453634,,,19,87,,,1.0,1.0
19135811,5.010635294096256,,,,2,1.0,,,False,,,,True,False,,,False,,34.07979251580814,-118.34595060013731,,,0,-9223372036854775808,,,1.0,1.0
15956956,5.1647859739235145,,,,2,2.0,,,True,,,,True,True,,,False,,34.045035079328144,-118.2512598173086,,,25,100,,,1.0,1.0
6924942,4.700480365792417,,,,2,1.0,,,True,,,,True,True,,,False,,40.68086393756811,-73.97752825543138,,,6,100,,,2.0,2.0
6972777,3.80666248977032,,,,1,1.0,,,True,,,,True,True,,,False,,34.14714093762547,-118.02110274563586,,,5,80,,,1.0,1.0
14253838,4.382026634673881,,,,2,1.0,,,False,,,,True,True,,,False,,40.7137466819412,-73.96311551949914,,,0,-9223372036854775808,,,1.0,1.0
20738762,5.247024072160486,,,,6,1.0,,,True,,,,True,False,,,False,,40.81910973716828,-73.95670408392525,,,0,-9223372036854775808,,,2.0,2.0
16221430,5.857933154483459,,,,3,1.0,,,True,,,,True,True,,,False,,40.73321322998492,-74.00242068208148,,,3,100,,,1.0,1.0
13398011,4.574710978503383,,,,6,1.0,,,True,,,,True,True,,,True,,40.70827289776521,-73.92263995786941,,,22,96,,,1.0,6.0
18472310,4.0943445622221,,,,2,1.0,,,True,,,,True,True,,,False,,40.75120430009384,-73.94019456580935,,,3,80,,,1.0,1.0
18524434,5.010635294096256,,,,1,1.0,,,False,,,,True,False,,,False,,37.74345962313544,-122.42350975284111,,,1,100,,,1.0,1.0
19225024,4.859812404361672,,,,4,1.0,,,True,,,,True,True,,,True,,37.7219829035956,-122.40757671341672,,,31,93,,,1.0,2.0
18840866,5.087596335232384,,,,7,2.0,,,True,,,,True,True,,,True,,34.18104334180944,-118.3045587889348,,,6,84,,,2.0,3.0
2586472,5.010635294096256,,,,2,1.0,,,False,,,,True,True,,,False,,40.78789197912051,-73.95056973795245,,,0,-9223372036854775808,,,1.0,1.0
20761244,3.871201010907892,,,,4,1.0,,,True,,,,True,True,,,True,,33.98029790327221,-118.38652291618816,,,10,92,,,1.0,2.0
3976798,5.5606816310155285,,,,4,2.5,,,True,,,,True,True,,,False,,34.1076262800478,-118.26701595663717,,,1,100,,,2.0,2.0
17812291,3.80666248977032,,,,1,1.0,,,True,,,,True,True,,,False,,40.69033068779007,-73.94216840620186,,,4,95,,,1.0,1.0
1168086,4.0943445622221,,,,3,1.0,,,True,,,,True,False,,,False,,38.89403438667299,-76.93555536588055,,,1,80,,,1.0,1.0
19692298,4.700480365792417,,,,3,1.0,,,True,,,,True,False,,,False,,41.921360308987616,-87.69941590662123,,,18,97,,,1.0,1.0
262343,4.700480365792417,,,,5,2.0,,,True,,,,,,,,True,,40.661488837938215,-73.95182312640901,,,0,-9223372036854775808,,,2.0,2.0
15734037,5.1929568508902095,,,,5,1.0,,,True,,,,True,False,,,False,,40.71270422233128,-73.94643148653219,,,0,-9223372036854775808,,,1.0,2.0
5011392,4.248495242049359,,,,2,1.0,,,True,,,,True,True,,,True,,38.91140319966409,-77.0216361885685,,,0,-9223372036854775808,,,1.0,1.0
1830541,5.393627546352364,,,,3,1.0,,,True,,,,True,False,,,False,,38.86353354138231,-76.94922310110003,,,0,-9223372036854775808,,,1.0,1.0
4576821,4.248495242049359,,,,1,1.0,,,True,,,,True,True,,,False,,40.669025811351865,-73.97707905070756,,,2,100,,,0.0,1.0
1008814,4.605170185988092,,,,4,1.0,,,True,,,,True,True,,,False,,34.114519367871964,-118.28071461542604,,,15,100,,,1.0,3.0
7226513,4.804021044733257,,,,2,1.0,,,True,,,,True,True,,,False,,40.80358102004292,-73.96305430434529,,,2,100,,,0.0,1.0
13858669,4.927253685157205,,,,2,1.0,,,True,,,,True,True,,,False,,40.71923229380578,-74.00660749208427,,,23,89,,,1.0,1.0
14873270,4.174387269895637,,,,2,1.0,,,True,,,,True,True,,,False,,40.86464458342038,-73.92767905315787,,,5,80,,,0.0,1.0
10132073,4.007333185232471,,,,2,1.0,,,True,,,,True,True,,,True,,34.15032310986388,-118.4102220001654,,,28,99,,,1.0,1.0
314248,4.8283137373023015,,,,2,1.0,,,True,,,,True,False,,,False,,37.77539369896728,-122.44230200743851,,,1,80,,,1.0,1.0
2165604,3.688879454113936,,,,2,1.0,,,True,,,,True,True,,,False,,40.82611579854033,-73.93853318152895,,,7,94,,,1.0,1.0
14900814,6.171700597410915,,,,9,3.0,,,True,,,,True,True,,,True,,34.07615877480637,-118.26710458839445,,,32,96,,,4.0,4.0
11593024,6.551080335043403,,,,6,2.0,,,True,,,,True,True,,,False,,34.06179104696712,-118.3598091017302,,,18,99,,,3.0,2.0
17497912,4.553876891600541,,,,1,1.0,,,False,,,,True,False,,,True,,40.74821397609899,-74.00180178559157,,,0,-9223372036854775808,,,1.0,1.0
16490513,4.007333185232471,,,,2,1.0,,,False,,,,True,True,,,False,,40.8219996087941,-73.93681076499041,,,144,96,,,1.0,2.0
15282612,5.521460917862246,,,,2,1.0,,,True,,,,True,True,,,False,,40.70863973238832,-74.00674863283534,,,0,-9223372036854775808,,,1.0,1.0
235281,5.293304824724492,,,,9,2.0,,,True,,,,True,True,,,False,,41.93349614462085,-87.65811887550836,,,10,96,,,2.0,5.0
9335247,4.0943445622221,,,,2,1.0,,,True,,,,True,True,,,False,,40.68455995095711,-73.93300821014746,,,5,85,,,1.0,1.0
15792652,4.174387269895637,,,,1,2.0,,,True,,,,True,True,,,False,,40.73309609213421,-73.98399616006476,,,0,-9223372036854775808,,,1.0,1.0
4666794,3.80666248977032,,,,2,1.0,,,True,,,,True,False,,,True,,34.105402018334395,-118.32101752072356,,,0,-9223372036854775808,,,0.0,1.0
20632389,4.976733742420574,,,,3,1.0,,,True,,,,True,True,,,False,,37.757385742659366,-122.4093681229838,,,16,94,,,1.0,1.0
20979364,3.912023005428147,,,,1,1.0,,,True,,,,True,True,,,False,,38.89331278560311,-76.98006958923972,,,3,100,,,1.0,1.0
4588783,4.174387269895637,,,,2,1.0,,,False,,,,,,,,False,,40.6347372741942,-74.00544768926349,,,7,94,,,1.0,2.0
8336708,4.060443010546419,,,,2,1.0,,,False,,,,True,False,,,True,,33.96985507649988,-117.8880915630626,,,1,100,,,1.0,1.0
16802965,4.90527477843843,,,,2,1.0,,,True,,,,True,True,,,False,,40.78866897018754,-73.94275459411402,,,38,88,,,1.0,1.0
14228669,4.653960350157523,,,,2,1.0,,,False,,,,True,False,,,True,,40.80006178372601,-73.96480255574978,,,14,89,,,1.0,2.0
7316104,4.48863636973214,,,,1,1.0,,,True,,,,True,False,,,False,,40.73585778328199,-73.9529396335647,,,7,93,,,1.0,1.0
25827,5.634789603169249,,,,8,2.0,,,True,,,,True,False,,,False,,34.1240862627584,-118.20176025873282,,,3,90,,,3.0,3.0
7827907,5.783825182329737,,,,4,2.0,,,True,,,,True,True,,,False,,37.75135040616152,-122.4373783771512,,,9,100,,,2.0,2.0
13900931,6.1092475827643655,,,,2,1.0,,,False,,,,True,False,,,False,,38.93652873596921,-77.05677220417549,,,0,-9223372036854775808,,,0.0,1.0
12068,4.31748811353631,,,,4,1.0,,,False,,,,True,True,,,False,,40.68978906562818,-73.91661217109214,,,105,89,,,1.0,2.0
9994860,5.937536205082426,,,,10,2.0,,,True,,,,True,False,,,False,,34.143100780410144,-118.36353393334817,,,59,96,,,3.0,4.0
13510326,4.0943445622221,,,,6,1.0,,,False,,,,True,True,,,False,,40.67939224880568,-73.96631357194381,,,1,100,,,2.0,3.0
17520883,4.382026634673881,,,,2,1.0,,,True,,,,True,True,,,False,,40.68112064452081,-73.93318174220413,,,67,99,,,1.0,1.0
2618997,4.867534450455582,,,,3,1.0,,,False,,,,True,True,,,False,,38.92205994811969,-77.08123697246326,,,3,93,,,1.0,1.0
8813451,5.068904202220232,,,,3,1.0,,,True,,,,True,False,,,False,,34.133740200081924,-118.13155697885765,,,10,98,,,2.0,2.0
8781837,4.127134385045092,,,,2,1.0,,,True,,,,True,False,,,False,,40.69896891443194,-73.93368120375966,,,16,96,,,0.0,1.0
14641006,5.298317366548036,,,,7,1.0,,,True,,,,True,True,,,False,,34.18916141583256,-118.22443175985022,,,3,100,,,2.0,2.0
1742144,4.465908118654584,,,,2,1.0,,,True,,,,True,True,,,True,,40.83807279658066,-73.93686826171701,,,13,94,,,1.0,1.0
15772294,3.4657359027997265,,,,4,1.5,,,True,,,,True,False,,,False,,40.58552007135368,-73.9664592754373,,,1,100,,,1.0,4.0
2278299,4.0943445622221,,,,2,1.0,,,False,,,,True,False,,,False,,42.31926520385325,-71.11324623810819,,,0,-9223372036854775808,,,1.0,1.0
16253186,4.962844630259907,,,,2,1.0,,,False,,,,True,False,,,True,,42.357197780957705,-71.07158810053095,,,2,80,,,1.0,1.0
13615270,5.598421958998375,,,,6,1.5,,,False,,,,True,False,,,False,,37.7742359494095,-122.40871244148434,,,1,100,,,1.0,3.0
11797378,4.382026634673881,,,,3,1.0,,,False,,,,True,True,,,True,,34.145254767367504,-118.09440404638568,,,73,98,,,1.0,1.0
1089240,3.871201010907892,,,,3,1.0,,,True,,,,True,False,,,True,,40.75785909013738,-73.81229988556599,,,18,100,,,1.0,2.0
11461331,3.49650756146648,,,,1,1.0,,,True,,,,True,False,,,False,,40.63991890875052,-74.00759597271158,,,9,80,,,1.0,1.0
16186033,3.4011973816621555,,,,1,1.0,,,False,,,,True,False,,,False,,34.1942471029391,-118.46784806977442,,,0,-9223372036854775808,,,1.0,1.0
6555586,5.6167710976665735,,,,4,2.0,,,True,,,,True,True,,,False,,33.9793662806098,-118.43769602803872,,,23,90,,,2.0,4.0
457555,5.521460917862246,,,,1,1.0,,,False,,,,True,False,,,False,,40.76222307366066,-74.00023237851053,,,0,-9223372036854775808,,,1.0,1.0
6599827,4.700480365792417,,,,3,1.0,,,False,,,,True,False,,,False,,40.72860183173593,-73.98851767075897,,,4,70,,,2.0,1.0
9057393,4.934473933130692,,,,3,1.0,,,True,,,,True,True,,,False,,40.76703608874565,-73.983450108475,,,15,99,,,1.0,1.0
20997664,4.8283137373023015,,,,4,1.0,,,True,,,,True,True,,,False,,34.08721618914821,-118.2586460766859,,,18,90,,,2.0,2.0
14555269,4.605170185988092,,,,2,1.0,,,True,,,,True,True,,,False,,40.78763432548647,-73.97203969074694,,,21,86,,,1.0,1.0
20958545,4.48863636973214,,,,2,1.0,,,False,,,,True,True,,,False,,34.077038875764195,-118.31541324329903,,,120,90,,,0.0,1.0
18649822,3.8918202981106265,,,,2,1.0,,,True,,,,True,True,,,False,,40.689169059641145,-73.91549295295323,,,0,-9223372036854775808,,,1.0,1.0
498052,7.150701457592526,,,,2,1.0,,,False,,,,True,False,,,False,,40.84177719329095,-73.93619723585535,,,0,-9223372036854775808,,,1.0,1.0
17860272,6.745236349484363,,,,2,2.0,,,False,,,,False,False,,,True,,40.72390035209946,-73.99677988216276,,,5,100,,,1.0,1.0
14916417,4.007333185232471,,,,1,1.0,,,False,,,,True,False,,,False,,42.33212184169128,-71.11280256526948,,,1,100,,,1.0,1.0
10574818,4.343805421853683,,,,2,1.0,,,False,,,,True,False,,,False,,40.765094385997294,-73.94681219688313,,,0,-9223372036854775808,,,1.0,1.0
18434133,3.555348061489413,,,,2,1.0,,,True,,,,True,True,,,False,,40.69370451751421,-73.94961774852437,,,10,98,,,1.0,1.0
20199218,6.214608098422191,,,,7,2.5,,,True,,,,True,True,,,False,,33.96717995756017,-118.45797160851956,,,10,98,,,3.0,4.0
2050565,6.527957917622548,,,,4,2.0,,,True,,,,True,True,,,False,,40.78149525131929,-73.97873576119251,,,3,100,,,3.0,3.0
10575738,4.8283137373023015,,,,2,1.0,,,True,,,,True,True,,,False,,40.77556902184688,-73.94615283055259,,,0,-9223372036854775808,,,1.0,1.0
6438568,5.010635294096256,,,,4,1.0,,,True,,,,True,False,,,False,,40.6820710269589,-73.93279276207103,,,25,94,,,2.0,3.0
1411264,4.248495242049359,,,,2,1.0,,,True,,,,True,True,,,False,,38.96799891613632,-77.02463252871911,,,8,93,,,1.0,1.0
6033550,4.605170185988092,,,,2,1.0,,,True,,,,True,True,,,True,,34.180116224011684,-118.42351801147038,,,9,96,,,1.0,1.0
51073,4.605170185988092,,,,4,1.0,,,True,,,,True,False,,,True,,34.13849471421065,-118.2499699075757,,,2,60,,,1.0,2.0
14568366,5.541263545158426,,,,2,1.0,,,True,,,,True,True,,,False,,40.72647439373227,-73.99061302970331,,,2,100,,,1.0,1.0
8442997,4.605170185988092,,,,4,1.0,,,True,,,,True,True,,,False,,42.27700841791601,-71.14533107240824,,,61,99,,,2.0,2.0
783533,5.081404364984463,,,,2,1.0,,,False,,,,True,True,,,False,,41.89008975152687,-87.62304293418734,,,4,100,,,1.0,1.0
6886174,4.4998096703302615,,,,2,1.0,,,True,,,,True,True,,,False,,37.74367784798369,-122.42070039126592,,,87,88,,,0.0,1.0
12872822,4.605170185988092,,,,1,1.0,,,True,,,,True,True,,,False,,40.71626842420742,-73.95869792702902,,,13,95,,,1.0,1.0
2604409,2.9444389791664403,,,,1,1.0,,,True,,,,True,False,,,False,,40.80892413014618,-73.85330188921466,,,3,100,,,1.0,1.0
12208881,4.394449154672439,,,,1,1.0,,,True,,,,True,True,,,False,,40.77838400594101,-73.97679885047052,,,2,70,,,1.0,1.0
6374167,5.575949103146316,,,,5,1.0,,,True,,,,True,False,,,False,,40.71400518253546,-73.96609839122863,,,15,97,,,2.0,3.0
10638806,4.897839799950911,,,,2,1.0,,,True,,,,True,True,,,False,,40.76588522391817,-73.9853647087034,,,206,91,,,1.0,1.0
10839763,5.48063892334199,,,,6,2.0,,,True,,,,True,True,,,False,,34.09893134799168,-118.32063590546026,,,26,100,,,2.0,3.0
20409623,4.219507705176107,,,,2,1.0,,,True,,,,True,False,,,False,,34.05218150610843,-118.34378739719044,,,8,100,,,0.0,1.0
17703855,4.442651256490317,,,,2,1.0,,,False,,,,True,True,,,False,,37.79722941432739,-122.41276465244589,,,0,-9223372036854775808,,,1.0,1.0
11610316,3.6635616461296463,,,,5,1.0,,,False,,,,True,True,,,True,,41.920778392850686,-87.74539573772539,,,16,100,,,1.0,3.0
10228764,4.31748811353631,,,,2,1.0,,,True,,,,True,True,,,True,,34.16582959293647,-118.42217724232324,,,43,97,,,1.0,1.0
6717232,4.31748811353631,,,,2,1.0,,,True,,,,True,True,,,False,,40.67651774525064,-73.96140215844555,,,73,95,,,1.0,1.0
19729961,5.697093486505405,,,,7,1.5,,,True,,,,True,False,,,False,,40.681921642359335,-73.99080073982515,,,0,-9223372036854775808,,,3.0,5.0
4098271,4.356708826689592,,,,2,1.0,,,False,,,,True,True,,,False,,40.68597022511484,-73.98788130416389,,,44,94,,,0.0,2.0
3630424,4.31748811353631,,,,2,1.0,,,True,,,,True,False,,,False,,40.70274555434789,-73.93288232242183,,,0,-9223372036854775808,,,1.0,1.0
16641,5.1647859739235145,,,,3,1.0,,,True,,,,True,True,,,False,,37.76028244484701,-122.42474053146722,,,3,100,,,1.0,1.0
17575812,4.976733742420574,,,,4,1.0,,,True,,,,True,True,,,False,,34.04770659309944,-118.25090797635325,,,104,98,,,0.0,2.0
11588543,5.010635294096256,,,,5,1.0,,,True,,,,True,False,,,False,,40.65738886162481,-74.00298000858199,,,22,95,,,3.0,3.0
19211691,4.941642422609304,,,,3,1.0,,,True,,,,True,True,,,False,,40.70445885031725,-73.92103049937965,,,3,100,,,1.0,1.0
18058045,5.5174528964647065,,,,6,1.0,,,True,,,,,,,,False,,40.73618433659615,-73.98451435106409,,,6,93,,,2.0,4.0
3238142,5.857933154483459,,,,2,1.0,,,True,,,,True,True,,,False,,40.71309234768753,-73.99454454255157,,,0,-9223372036854775808,,,0.0,1.0
11257690,4.700480365792417,,,,3,1.0,,,False,,,,True,True,,,False,,40.74155659364518,-73.91866008468763,,,6,97,,,1.0,1.0
6181322,4.605170185988092,,,,3,1.0,,,True,,,,True,True,,,False,,40.85893232174303,-73.92985321004002,,,1,100,,,1.0,1.0
19845637,4.442651256490317,,,,2,1.0,,,False,,,,True,False,,,False,,40.687743675195286,-73.92463963844102,,,16,93,,,1.0,1.0
15942310,4.59511985013459,,,,3,1.0,,,True,,,,True,True,,,True,,34.13494883493197,-118.14626121327755,,,47,92,,,1.0,2.0
4884601,3.80666248977032,,,,3,0.5,,,True,,,,True,True,,,False,,33.97880100675698,-117.89737996490032,,,63,97,,,1.0,2.0
7144212,4.8283137373023015,,,,1,1.0,,,True,,,,True,True,,,False,,40.7046849294038,-74.00722467461594,,,3,100,,,1.0,1.0
11190379,4.691347882229144,,,,6,1.5,,,True,,,,True,True,,,False,,33.98994161605986,-117.90166602071304,,,7,100,,,2.0,2.0
